정류장명,위도,경도
서울북부지방검찰청.한양수자인아파트,37.67475,127.0470667
하나약국,37.6724833,127.0464667
신방학중학교앞,37.6634667,127.0277833
공릉시장,37.62275,127.07415
공릉시장,37.6231167,127.0735333
태릉입구역4번출구,37.6196667,127.0751667
태릉입구역3번출구,37.6195167,127.0747333
태릉입구역,37.6174667,127.07455
태릉입구역,37.6170833,127.0746167
경춘선숲길.토끼굴앞,37.6193167,127.07985
주유소앞다운복지관,37.6189,127.0797
서울생활사박물관.농협앞,37.6185,127.07755
태릉입구역7번출구.서울생활사박물관,37.6178833,127.07665
화랑대역1번출구,37.61985,127.0833333
공릉해링턴플레이스,37.6283667,127.0849833
원자력병원.공릉해링턴플레이스,37.62735,127.0851667
공릉우방아파트,37.6260167,127.08605
태릉해링턴플레이스아파트,37.6252,127.0859667
화랑타운아파트,37.6239833,127.0867167
청솔아파트,37.6233167,127.08645
화랑대역2번출구,37.6202,127.0833833
화랑대사거리,37.6217667,127.0880833
화랑대사거리,37.6219833,127.0879667
경춘선숲길.화랑대역공원,37.62395,127.0912833
경춘선숲길.화랑대역공원,37.6235667,127.0903
서울여대.육군사관학교행정안내소,37.6259833,127.0948
서울여대.육군사관학교행정안내소,37.6261667,127.0946167
태릉국제사격장,37.6276333,127.0962
태릉국제사격장,37.62815,127.0962
태릉,37.6302667,127.0985833
태릉,37.6304167,127.0983167
태릉선수촌,37.6333667,127.1032167
태릉선수촌,37.6339,127.1036333
수락리버시티아파트,37.6891167,127.0555833
한국스포츠정책과학원,37.6351667,127.1054
삼육대앞,37.6384167,127.10835
삼육대앞,37.6387333,127.1083333
담터고개,37.6408333,127.1112167
예수사랑교회,37.6222167,127.0872333
서울과학기술대입구,37.6284667,127.0718
서울과학기술대입구,37.6283,127.07145
공릉역1번출구,37.6265667,127.0727167
공릉역4번출구,37.6263333,127.0724167
상계주공9단지,37.6627833,127.0584667
상계주공7단지,37.6602833,127.0591
대림아파트상가,37.66035,127.0587
도봉면허시험장,37.6571833,127.0600167
도봉면허시험장,37.6572667,127.05955
상계주공7단지,37.6609333,127.0598833
상계주공7단지.광림교회앞,37.6605,127.06265
청원고등학교,37.6650667,127.0617
상계주공9단지,37.6646,127.0587833
온곡중학교.노원중앙도서관,37.6592167,127.0643667
두산아파트.도심공항수락터미널,37.6786667,127.0532333
두산아파트.도심공항수락터미널,37.6784667,127.0534333
수락산역3번출구,37.6768833,127.0555333
수락산역,37.67725,127.0551333
노일초등학교,37.6734667,127.0553
노원초등학교,37.6726167,127.05595
상계현대2차아파트,37.6717333,127.0509333
상계현대3차아파트,37.6709833,127.0525667
수락리버시티아파트,37.6894167,127.05515
수락중고등학교,37.6828667,127.0552167
수락중고등학교,37.6829333,127.05565
은빛아파트2단지,37.6802333,127.0551167
홍파복지원.수락산벨리체아파트,37.6798667,127.0556167
상계초등학교,37.65765,127.0659
상계초등학교,37.6578,127.0661833
노원역9번출구,37.6561333,127.0619667
노원역1번출구,37.6561833,127.0634333
상계중앙하이츠2단지,37.6547333,127.0674833
상계중학교정문,37.6524833,127.0681667
상계중학교,37.6515,127.0693
코오롱아파트.양지대림아파트,37.6525167,127.0707
상계119안전센터,37.6539833,127.0714833
상계119안전센터,37.6539333,127.0717667
상계동주유소,37.65755,127.0716167
상계동주유소,37.6577833,127.0718333
상계중앙시장입구,37.6584833,127.0707667
상계중앙시장입구,37.6586333,127.0706333
상계역,37.6603,127.0719333
상신교회,37.6612833,127.0707667
상신교회,37.6614667,127.07085
계상초등학교,37.6628333,127.0689333
상계5동주민센터,37.6628833,127.0691667
상계한신2차아파트,37.66425,127.0666167
상계한신2차아파트,37.6644667,127.0666333
상계벽산아파트,37.6612,127.0734333
벽산아파트103동,37.6607,127.0717667
상계주공3단지,37.6521333,127.0609167
상계주공2단지,37.64965,127.06165
상계주공1단지,37.6471333,127.0628167
노원구청,37.6539833,127.05825
노원구청,37.6543333,127.0575
상계주공6단지,37.6533333,127.0610167
상계주공4단지,37.6506,127.0617833
백병원,37.6479667,127.06285
상계6.7동주민센터,37.65445,127.0671833
상계중학교,37.6523833,127.0678
상경초등학교,37.6708667,127.0518167
상계주공15단지,37.6683,127.0566
마들역,37.6653667,127.0574
상계주공10단지,37.6622,127.0581667
