학교명,위도,경도,설립형태,소재지도로명주소
용호중학교,37.34302578,126.9446325,공립,경기도 군포시 용호2로54번길 14
인덕원중학교,37.40224961,126.9714242,공립,경기도 안양시 동안구 벌말로 174
평택여자중학교,36.99300685,127.1030819,공립,경기도 평택시 평택4로 60
도곡중학교,36.989221,126.8487617,공립,경기도 평택시 포승읍 여술로 58
중산중학교,37.69140401,126.7835017,공립,경기도 고양시 일산동구 탄중로 361
남수원중학교,37.25199587,127.0336582,공립,경기도 수원시 권선구 권중로 162
동덕여자중학교,37.47587863,126.991995,사립,서울특별시 서초구 효령로2길 123-5
청옥중학교,37.01478998,126.9150395,공립,경기도 평택시 청북읍 안청로1길 11
고척중학교,37.49974083,126.8613425,공립,서울특별시 구로구 중앙로3길 20
강현중학교,37.50311599,126.9307563,공립,서울특별시 동작구 상도로13라길 22
문창중학교,37.495803,126.9224055,공립,서울특별시 동작구 여의대방로22나길 40
양동중학교,37.42168348,127.755652,사립,경기도 양평군 양동면 학둔지윗길 47-7
용동중학교,37.23151178,127.2829773,사립,경기도 용인시 처인구 양지면 남곡로 26
덕양중학교,37.60465416,126.8717155,공립,경기도 고양시 덕양구 중앙로176번길 18-29
청운중학교,37.55334405,127.711468,공립,경기도 양평군 청운면 청운로 28
교하중학교,37.72281294,126.7208925,공립,경기도 파주시 책향기로 194
오마중학교,37.6776984,126.761562,공립,경기도 고양시 일산서구 주엽로 213
가람중학교,37.62365997,126.8412071,공립,경기도 고양시 덕양구 화신로 122
금곡중학교,37.6339474,127.2145117,공립,경기도 남양주시 경춘로 1008
운천중학교,37.15829932,127.078007,공립,경기도 오산시 운암로 133
국사봉중학교,37.49353263,126.9440557,공립,서울특별시 동작구 양녕로20길 20
서원중학교,37.3018915,127.0805582,공립,경기도 용인시 수지구 상현로42번길 26-8
양진중학교,36.98582893,127.1438654,공립,경기도 안성시 공도읍 진사1길 37
단국대학교사범대학부속중학교,37.49561749,127.0577682,사립,서울특별시 강남구 도곡로64길 21
신목중학교,37.53702399,126.8730725,공립,서울특별시 양천구 목동중앙로 88
원삼중학교,37.16816305,127.3093128,공립,경기도 용인시 처인구 원삼면 고당로16번길 29
늘푸른중학교,37.35739426,127.1051176,공립,경기도 성남시 분당구 정자일로 77
언북중학교,37.51942855,127.0331263,공립,서울특별시 강남구 도산대로38길 27
광신중학교,37.4644762,126.9259406,사립,서울특별시 관악구 광신길 141
백암중학교,37.164968,127.3685728,공립,경기도 용인시 처인구 백암면 백원로 519-9
산본중학교,37.3695021,126.9271263,공립,경기도 군포시 산본로432번길 17
발곡중학교,37.72744102,127.0549978,공립,경기도 의정부시 회룡로 185
의정부여자중학교,37.74996862,127.039693,공립,경기도 의정부시 신흥로365번길 40
판곡중학교,37.66279729,127.2419367,공립,경기도 남양주시 늘을1로 115
상원여자중학교,37.45701189,127.1580691,공립,경기도 성남시 수정구 논골로35번길 6-1
금정중학교,37.35663236,126.9390466,공립,경기도 군포시 오금로 114
신곡중학교,37.74316219,127.0598807,공립,경기도 의정부시 추동로24번길 23
민락중학교,37.74089695,127.095632,공립,경기도 의정부시 오목로 151
봉화중학교,37.59582753,127.1043156,공립,서울특별시 중랑구 망우로70길 89
장안중학교,37.37142116,127.1466862,공립,경기도 성남시 분당구 장안로 70
안양서중학교,37.38592792,126.9043162,공립,경기도 안양시 만안구 창박로 26
용곡중학교,37.56595126,127.0890896,공립,서울특별시 광진구 용마산로22길 76
성산중학교,37.54731637,126.9165629,공립,서울특별시 마포구 성지1길 32-13
연무중학교,37.29290141,127.0518821,공립,경기도 수원시 영통구 센트럴타운로100번길 30
인수중학교,37.64386667,127.0099213,공립,서울특별시 강북구 인수봉로75길 10
문성중학교,37.4754682,126.9084938,공립,서울특별시 금천구 독산로102길 78
배명중학교,37.4976895,127.0958118,사립,서울특별시 송파구 삼학사로 11
동구중학교,37.61261522,127.1350602,공립,경기도 구리시 동구릉로103번길 75
군포중학교,37.35790182,126.9449292,공립,경기도 군포시 금당로124번길 19
동국대학교사범대학부속중학교,37.57804718,127.075171,사립,서울특별시 동대문구 장안벚꽃로 201
어람중학교,37.68200711,127.214868,공립,경기도 남양주시 오남읍 진건오남로550번길 35
흥덕중학교,37.27678653,127.0797285,공립,경기도 용인시 기흥구 흥덕중앙로105번길 10
