address,park,hospital,subway,bus,parking,element,middle,high,hospitalcount,homeKind
서울특별시 강북구 노해로23길 88-6,0.7231472412667319,0.7842876165113182,0.7696197411003236,0.3966512702078522,0.7627382341501361,0.6294573643410852,0.6442738323736404,0.7722357865364493,0.7549333783100016,다세대주택
서울특별시 강북구 노해로25길 55,0.7035586026771139,0.844207723035952,0.7949029126213591,0.4849884526558892,0.822248152469856,0.6813953488372093,0.7389635316698657,0.7349145448203698,0.7412717152976893,다가구주택
서울특별시 강북구 노해로27길 100,0.7424094025465231,0.7576564580559254,0.7518203883495146,0.365473441108545,0.7432905484247374,0.6558139534883721,0.6468330134357005,0.8057202650854551,0.7581379659301737,다세대주택
서울특별시 강북구 노해로27길 104,0.7479595168135815,0.7709720372836218,0.7491909385113269,0.3556581986143187,0.7366783352781019,0.6449612403100775,0.653230966090851,0.8092082316009767,0.7601619160060719,다세대주택
서울특별시 강북구 노해로27길 35,0.7110675808031341,0.7802929427430093,0.808252427184466,0.5444572748267898,0.8634772462077013,0.713953488372093,0.8080614203454894,0.711545169166376,0.7303086523865745,다세대주택
서울특별시 강북구 노해로27길 83,0.7247796278158668,0.6950732356857523,0.7653721682847896,0.4105080831408776,0.7740178918708673,0.6922480620155038,0.6705054382597568,0.7851412626438786,0.75139146567718,다세대주택
서울특별시 강북구 노해로33가길 7-10,0.7649363369245837,0.8495339547270306,0.808252427184466,0.5554272517321016,0.8669778296382731,0.8449612403100775,0.8438899552143314,0.7261946285315661,0.7308146399055491,다세대주택
서울특별시 강북구 노해로33길 107-3,0.7564479268690827,0.6724367509986684,0.7413025889967637,0.3348729792147806,0.7230649552703228,0.6713178294573643,0.7056941778630839,0.8378095570282525,0.7598245909934223,다세대주택
서울특별시 강북구 노해로33길 107-9,0.7619980411361411,0.6950732356857523,0.7368527508090614,0.3267898383371824,0.7176196032672112,0.6542635658914728,0.7063339731285989,0.8381583536798047,0.7611738910440209,다세대주택
서울특별시 강북구 노해로33길 20-7,0.7590597453476984,0.8495339547270306,0.8056229773462783,0.5583140877598153,0.8700894593543369,0.8310077519379845,0.8464491362763915,0.7234042553191489,0.7303086523865745,다세대주택
서울특별시 강북구 노해로33길 28-6,0.7590597453476984,0.833555259653795,0.8036003236245954,0.5519630484988454,0.8658109684947491,0.8310077519379845,0.8387715930902111,0.7272410184862226,0.7326699274751223,다세대주택
서울특별시 강북구 노해로33길 60-9,0.7600391772771793,0.6125166444740346,0.776294498381877,0.4526558891454966,0.8012446518864256,0.7937984496124031,0.727447216890595,0.781304499476805,0.7424523528419633,다세대주택
서울특별시 강북구 노해로33길 70-21,0.7685275873326805,0.5845539280958721,0.7728559870550162,0.4237875288683602,0.7814080124465188,0.7891472868217054,0.6960972488803583,0.8001395186606208,0.7463315904874346,다세대주택
서울특별시 강북구 노해로33길 70-5,0.7564479268690827,0.6045272969374167,0.7686084142394822,0.4289838337182448,0.7856865033061066,0.7689922480620155,0.6999360204734485,0.7928147889780258,0.7446449654241862,다세대주택
서울특별시 강북구 노해로33길 78-17,0.7619980411361411,0.5765645805592543,0.7645631067961165,0.4030023094688222,0.7677946324387398,0.7596899224806202,0.672424824056302,0.8095570282525288,0.7480182155506832,다세대주택
서울특별시 강북구 노해로33길 78-4,0.7554684949396018,0.5992010652463382,0.7655744336569579,0.4191685912240185,0.779074290159471,0.7596899224806202,0.6890595009596929,0.7976979420997559,0.745994265474785,다세대주택
서울특별시 강북구 노해로33길 88-5,0.7567744041789095,0.6138482023968042,0.75707928802589,0.3810623556581987,0.7534033450019448,0.7310077519379845,0.6717850287907869,0.8193233344959888,0.7518974531961545,다세대주택
서울특별시 강북구 노해로33길 88-9,0.7619980411361411,0.5952063914780292,0.758495145631068,0.3775981524249423,0.750680669000389,0.7372093023255815,0.6794625719769674,0.8235088943146146,0.7517287906898297,다세대주택
서울특별시 강북구 노해로33다길 31,0.7482859941234083,0.7536617842876165,0.7473705501618123,0.3545034642032333,0.7362893815635939,0.6527131782945736,0.6609085092770314,0.8133937914196023,0.7601619160060719,다세대주택
서울특별시 강북구 노해로35가길 28,0.7838720208945478,0.5672436750998668,0.7728559870550162,0.3954965357967668,0.7611824192921043,0.7922480620155039,0.6737044145873321,0.8203697244506453,0.7480182155506832,다세대주택
서울특별시 강북구 노해로35가길 30,0.7835455435847208,0.5499334221038614,0.770631067961165,0.3868360277136259,0.7553481135744846,0.7829457364341086,0.6833013435700577,0.8256016742239275,0.7483555405633329,다세대주택
