면허번호,업종명,사업자구분,업체명,주사무소 우편번호,주사무소 주소,주사무소 상세주소,팩스번호,관할관청,면허상태
160025,화물주선업,개인,영마익스프레스,07720,서울특별시 강서구 화곡7동,400-50,,강서구,정상
160030,화물주선업,개인,나래익스프레스,07562,서울특별시 강서구 공항대로61길 22-7,가동 1층 (염창동),,강서구,정상
160035,화물주선업,개인,굿로지스,08055,서울특별시 양천구 신정로 167,"1동 2층 31호 (신정동, 서부트럭터미널)",,양천구,정상
160040,화물주선업,법인,오양로지스틱(주),07505,서울특별시 강서구 공항동,1373 김포국제화물청사 301-1호,,강서구,정상
160036,화물주선업,법인,브이로지스(주),05246,서울특별시 강동구 선사로 52,(천호동),,강동구,정상
160053,화물주선업,개인,현대익스프레스,07667,서울특별시 강서구 등촌로51길 75, (등촌동),,강서구,정상
50066,화물주선업,법인,명성이사,05307,서울특별시 강동구 상암로41길 36, (천호동),,강동구,정상
150446,화물주선업,개인,제주화물,08055,서울특별시 양천구 신정로 167,"3동 1층 1122호 (신정동, 서부트럭터미널)",,양천구,정상
160070,화물주선업,법인,(주)해우지엘에스,07583,서울특별시 강서구 강서로 402,재영빌딩 8층 (등촌동),,강서구,정상
2278,화물주선업,개인,대명익스프레스,01009,서울특별시 강북구 삼양로139가길 43,102호,,강북구,정상
2291,화물주선업,개인,뉴서울익스프레스,01170,서울특별시 강북구 미아3동,309-44,,강북구,정상
100115,화물주선업,법인,(주)이사박사코리아,02176,서울특별시 중랑구 용마산로116길 6,"310호 (망우동,아름빌딩)",,중랑구,정상
220620,화물주선업,개인,대한통운금천위탁점,08582,서울특별시 금천구 벚꽃로18길 27, (독산동),,금천구,정상
150423,화물주선업,법인,윙고(주),06295,서울특별시 강남구 언주로 120,809호 (도곡동),,강남구,정상
190164,화물주선업,법인,태양카고크레인(주),07363,서울특별시 영등포구 경인로94길 3-19, (문래동1가),,영등포구,정상
210101,화물주선업,개인,무지개익스프레스,08736,서울특별시 관악구 봉천6동,66-73,,관악구,정상
190058,화물주선업,개인,한양운송,150-102,서울특별시 영등포구 양평동2가,1-4호 ,,영등포구,정상
220023,화물주선업,법인,(주)한양로지스,06802,서울특별시 서초구 청계산로 203,306호 (신원동),,서초구,정상
120014,화물주선업,개인,우리익스프레스,03363,"서울특별시 은평구 불광로 116, 1층",(불광동),,은평구,정상
140001,화물주선업,개인,통인익스프레스,03940,서울특별시 마포구 월드컵로36길 54,"(성산동,2층)",,마포구,정상
120019,화물주선업,법인,(주)통인인터내셔날,03148,서울특별시 종로구 인사동길 32, (관훈동),,종로구,정상
250036,화물주선업,개인,통인포장이사공사,05226,서울특별시 강동구 동남로85길 7,1층 (고덕동),,강동구,정상
220411,화물주선업,개인,통일종합물류,06997,서울특별시 동작구 동작대로31길 21, (사당동),,동작구,정상
250114,화물주선업,개인,에스지(SG)드라이브,02580,서울특별시 동대문구 한빛로 30,"202호, 203호 (신설동)",,동대문구,정상
250070,화물주선업,개인,팔팔익스프레스,05237,서울특별시 강동구 암사동,450-9,,강동구,정상
780,화물주선업,개인,평안물류,01690,서울특별시 노원구 동일로 1456,"208호(상계동,주공아파트7단지상가)",,노원구,정상
230089,화물주선업,개인,이사박사넷,138-040,서울특별시 송파구 풍납동,222-38(지층),,송파구,정상
150043,화물주선업,법인,풍진육운(주),08055,서울특별시 양천구 신정로 167,"3동 2층 1226호 (신정동, 서부트럭터미널)",,양천구,정상
220352,화물주선업,법인,(주)하나물류넷,06772,서울특별시 서초구 양재대로11길 36,6층 611호 (양재동),,서초구,정상
160047,화물주선업,개인,하나익스프레스,07641,서울특별시 강서구 외발산동,216-23 102호,,강서구,정상
200004,화물주선업,개인,한일익스프레스,02710,서울특별시 성북구 정릉동,383-77,,성북구,정상
170053,화물주선업,개인,하나통운,08289,서울특별시 구로구 새말로16길 17,지층 (구로동),,구로구,정상
220224,화물주선업,개인,대한익스프레스,06765,서울특별시 서초구 형촌5길 16,지1층 2호 (우면동),,서초구,정상
190124,화물주선업,법인,씨제이대한통운(주),04513,서울특별시 중구 세종대로9길 53,"(서소문동,대한통운빌딩)",,중구,정상
220414,화물주선업,개인,천상로지스틱,05740,서울특별시 송파구 동남로26길 21,202호 (오금동),,송파구,정상
150015,화물주선업,개인,대현화물터미널,08055,서울특별시 양천구 신정로 167,"3동 1층 1116호 (신정동, 서부트럭터미널)",,양천구,정상
190020,화물주선업,법인,(주)에이원무빙코리아,10129,경기도 김포시 고촌읍 김포대로 349,"1동 408호, 411호 ",,타기관,정상
250048,화물주선업,개인,거평익스프레스,07356,서울특별시 영등포구 신길동,466-9  2층,,영등포구,정상
180005,화물주선업,개인,덕흥화물콜,08654,서울특별시 금천구 시흥대로12길 10,(시흥동),,금천구,정상
946,화물주선업,개인,다인트랜스,01132,서울특별시 강북구 도봉로68길 22,"109호 (미아동,현대아파트상가)",,강북구,정상
150127,화물주선업,개인,도연특송,08055,서울특별시 양천구 신정로 167,"2동 2층 31호 (신정동, 서부트럭터미널)",,양천구,정상
150062,화물주선업,개인,부자2424,07909,서울특별시 양천구 남부순환로 326,지층 (신월동),,양천구,정상
180027,화물주선업,개인,미래물류,06772,서울특별시 서초구 양재동,220-1 지하 1층(양재동),,서초구,정상
220128,화물주선업,법인,동방특송(주),06752,서울특별시 서초구 강남대로27길 7-9,"2층 (양재동,우곡빌딩)",,서초구,정상
100123,화물주선업,법인,(주)나비물류,01914,서울특별시 노원구 화랑로45길 49,(월계동),,노원구,정상
220070,화물주선업,개인,24시물류,05768,서울특별시 송파구 거여동,35-11,,송파구,정상
150296,화물주선업,개인,대양고속화물,158-070,서울특별시 양천구 신정동,812 서부트럭터미널 C-1208호,,양천구,정상
